Date Time, Monitor ID, Location ID, O3(ppm)
13 dic 2019 15:45,1,1,0,023
13 dic 2019 15:46,1,1,0,023
13 dic 2019 15:47,1,1,0,022
13 dic 2019 15:48,1,1,0,021
13 dic 2019 15:49,1,1,0,022
13 dic 2019 15:50,1,1,0,022
13 dic 2019 15:51,1,1,0,021
13 dic 2019 15:52,1,1,0,021
13 dic 2019 15:53,1,1,0,020
13 dic 2019 15:54,1,1,0,020
13 dic 2019 15:55,1,1,0,021
13 dic 2019 15:56,1,1,0,021
13 dic 2019 15:57,1,1,0,021
13 dic 2019 15:58,1,1,0,021
13 dic 2019 15:59,1,1,0,020
13 dic 2019 16:00,1,1,0,020
13 dic 2019 16:01,1,1,0,020
13 dic 2019 16:02,1,1,0,019
13 dic 2019 16:03,1,1,0,020
13 dic 2019 16:04,1,1,0,019
13 dic 2019 16:05,1,1,0,019
13 dic 2019 16:06,1,1,0,019
13 dic 2019 16:07,1,1,0,020
13 dic 2019 16:08,1,1,0,020
13 dic 2019 16:09,1,1,0,020
13 dic 2019 16:10,1,1,0,020
13 dic 2019 16:11,1,1,0,019
13 dic 2019 16:12,1,1,0,019
